canal,n_mqls,tasa_obs,ic95_inf,ic95_sup
display,118,0.05084745762711865,0.01694915254237288,0.09322033898305085
other_publicities,65,0.046153846153846156,0.0,0.1076923076923077
other,150,0.02666666666666667,0.0,0.05333333333333334
(not set),60,0.23333333333333334,0.13333333333333333,0.3333333333333333
